序号,出现次数,时间戳,成交时间,成交价格,成交数量,近60分钟总成交笔,单笔买入成交额,前5日单笔买入成交额
1,2,1698114622875,2023-10-24 10:30:22,3.750,1819000,1648,6821250.000,746900.000
2,1,1698114818233,2023-10-24 10:33:38,3.750,550000,1571,2062500.000,746900.000
3,2,1698115046047,2023-10-24 10:37:26,3.740,814000,1506,3044360.000,746900.000
4,1,1698116428463,2023-10-24 11:00:28,3.730,333000,956,1242090.000,746900.000
