序号,出现次数,时间戳,成交时间,成交价格,成交数量,近60分钟总成交笔,单笔买入成交额,前5日单笔买入成交额
1,1,1697510762737,2023-10-17 10:46:02,12.640,132000,863,1668480.000,1354224.000
2,1,1697510828866,2023-10-17 10:47:08,12.640,226200,850,2859168.000,1354224.000
3,2,1697512170577,2023-10-17 11:09:30,12.820,278800,952,3574216.000,1354224.000
4,1,1697512822595,2023-10-17 11:20:22,12.960,388600,1473,5036256.000,1354224.000
5,1,1697512934432,2023-10-17 11:22:14,12.960,441800,1601,5725728.000,1354224.000
6,1,1697513185342,2023-10-17 11:26:25,13.000,200000,1931,2600000.000,1354224.000
7,1,1697513319152,2023-10-17 11:28:39,13.020,133200,2117,1734264.000,1354224.000
8,1,1697513435385,2023-10-17 11:30:35,13.000,300000,2204,3900000.000,1354224.000
9,1,1697513540501,2023-10-17 11:32:20,12.980,169800,2263,2204004.000,1354224.000
10,1,1697514212662,2023-10-17 11:43:32,12.960,139200,2481,1804032.000,1354224.000
11,2,1697514518218,2023-10-17 11:48:38,12.980,346400,2509,4496272.000,1354224.000
12,1,1697514667640,2023-10-17 11:51:07,12.960,205800,2511,2667168.000,1354224.000
13,1,1697514791210,2023-10-17 11:53:11,12.940,154000,2534,1992760.000,1354224.000
14,1,1697514960827,2023-10-17 11:56:00,12.920,213400,2570,2757128.000,1354224.000
15,1,1697518810109,2023-10-17 13:00:10,12.900,497800,2615,6421620.000,1354224.000
16,1,1697519080490,2023-10-17 13:04:40,12.920,188600,2658,2436712.000,1354224.000
17,1,1697519562297,2023-10-17 13:12:42,12.920,125800,2488,1625336.000,1354224.000
18,1,1697519926077,2023-10-17 13:18:46,12.940,200000,2239,2588000.000,1354224.000
19,1,1697520144518,2023-10-17 13:22:24,12.940,111800,2097,1446692.000,1354224.000
20,1,1697520359715,2023-10-17 13:25:59,12.920,224800,1948,2904416.000,1354224.000
21,1,1697521730210,2023-10-17 13:48:50,12.960,352800,2005,4572288.000,1354224.000
22,1,1697522481715,2023-10-17 14:01:21,12.980,210000,2055,2725800.000,1354224.000
