序号,出现次数,时间戳,成交时间,成交价格,成交数量,近60分钟总成交笔,单笔买入成交额,前5日单笔买入成交额
1,1,1697509936646,2023-10-17 10:32:16,12.660,170600,1138,2159796.000,1275904.000
2,1,1697510041462,2023-10-17 10:34:01,12.680,297400,1096,3771032.000,1275904.000
3,1,1697511022568,2023-10-17 10:50:22,12.660,121200,823,1534392.000,1275904.000
4,1,1697511146018,2023-10-17 10:52:26,12.680,150800,814,1912144.000,1275904.000
5,1,1697512002553,2023-10-17 11:06:42,12.780,362400,827,4631472.000,1275904.000
6,2,1697512090199,2023-10-17 11:08:10,12.800,600000,870,7680000.000,1275904.000
7,1,1697512192360,2023-10-17 11:09:52,12.820,139400,963,1787108.000,1275904.000
8,1,1697512282153,2023-10-17 11:11:22,12.820,173600,984,2225552.000,1275904.000
9,1,1697512547242,2023-10-17 11:15:47,12.840,152200,1146,1954248.000,1275904.000
10,1,1697512610192,2023-10-17 11:16:50,12.860,507600,1183,6527736.000,1275904.000
11,1,1697512680511,2023-10-17 11:18:00,12.900,100000,1251,1290000.000,1275904.000
12,1,1697512741897,2023-10-17 11:19:01,12.940,128400,1332,1661496.000,1275904.000
13,1,1697512828756,2023-10-17 11:20:28,12.960,128000,1485,1658880.000,1275904.000
14,1,1697512898877,2023-10-17 11:21:38,12.980,458600,1588,5952628.000,1275904.000
15,1,1697512999206,2023-10-17 11:23:19,12.980,300000,1662,3894000.000,1275904.000
16,1,1697513114827,2023-10-17 11:25:14,13.000,99800,1813,1297400.000,1275904.000
17,1,1697513192980,2023-10-17 11:26:32,13.020,98000,1938,1275960.000,1275904.000
18,1,1697513368782,2023-10-17 11:29:28,13.020,127800,2164,1663956.000,1275904.000
19,1,1697513772083,2023-10-17 11:36:12,13.000,100000,2335,1300000.000,1275904.000
20,1,1697514162184,2023-10-17 11:42:42,12.980,209200,2478,2715416.000,1275904.000
21,1,1697514295754,2023-10-17 11:44:55,12.980,273000,2504,3543540.000,1275904.000
22,1,1697514602954,2023-10-17 11:50:02,12.960,98600,2508,1277856.000,1275904.000
23,1,1697515108060,2023-10-17 11:58:28,12.940,226800,2597,2934792.000,1275904.000
24,1,1697518865341,2023-10-17 13:01:05,12.900,100000,2646,1290000.000,1275904.000
25,1,1697519188148,2023-10-17 13:06:28,12.920,104600,2589,1351432.000,1275904.000
26,1,1697519363964,2023-10-17 13:09:23,12.940,182600,2508,2362844.000,1275904.000
27,1,1697519447147,2023-10-17 13:10:47,12.960,190600,2513,2470176.000,1275904.000
28,2,1697520047002,2023-10-17 13:20:47,12.960,302000,2212,3913920.000,1275904.000
29,1,1697520525220,2023-10-17 13:28:45,12.920,111800,1794,1444456.000,1275904.000
30,1,1697521037657,2023-10-17 13:37:17,12.920,384400,1876,4966448.000,1275904.000
31,1,1697521166476,2023-10-17 13:39:26,12.960,124000,1885,1607040.000,1275904.000
32,1,1697521321105,2023-10-17 13:42:01,12.980,254200,1927,3299516.000,1275904.000
33,1,1697521773924,2023-10-17 13:49:33,12.960,147600,2019,1912896.000,1275904.000
34,1,1697522020573,2023-10-17 13:53:40,12.960,118800,2047,1539648.000,1275904.000
