对比结果,测试异动序号,vv异动序号,时间戳,时间
vv少算的,3,,1697522400377,2023-10-17 14:00:00
两边都有的,1,1,1697512772746,2023-10-17 11:19:32
两边都有的,2,2,1697514019103,2023-10-17 11:40:19
