序号,出现次数,时间戳,时间,价格,买卖方向,上笔价格,涨跌幅
1,1,1697512772746,2023-10-17 11:19:32,12.96,B,12.54,0.0335
2,1,1697514019103,2023-10-17 11:40:19,12.98,B,12.62,0.0285
3,1,1697522400377,2023-10-17 14:00:00,13.0,B,12.66,0.0269
