序号,出现次数,时间戳,成交时间,成交价格,成交数量,近60分钟总成交笔,单笔买入成交额,前5日单笔买入成交额
1,1,1698115266714,2023-10-24 10:41:06,46.100,56000,1960,2581600.000,1104000.000
2,1,1698115353717,2023-10-24 10:42:33,46.200,25000,1895,1155000.000,1104000.000
3,1,1698115563005,2023-10-24 10:46:03,46.250,49000,1738,2266250.000,1104000.000
4,1,1698115728156,2023-10-24 10:48:48,46.350,36000,1684,1668600.000,1104000.000
5,1,1698115835509,2023-10-24 10:50:35,46.650,37500,1684,1749375.000,1104000.000
6,2,1698116450248,2023-10-24 11:00:50,46.350,60000,1566,2781000.000,1104000.000
7,1,1698130550631,2023-10-24 14:55:50,46.350,27500,1120,1274625.000,1104000.000
8,2,1698131137565,2023-10-24 15:05:37,46.350,56000,1081,2595600.000,1104000.000
9,1,1698131213551,2023-10-24 15:06:53,46.400,33500,1088,1554400.000,1104000.000
10,1,1698131520418,2023-10-24 15:12:00,46.350,27000,1079,1251450.000,1104000.000
11,1,1698132120674,2023-10-24 15:22:00,46.150,46000,920,2122900.000,1104000.000
12,1,1698132185226,2023-10-24 15:23:05,46.150,32500,895,1499875.000,1104000.000
13,1,1698133043988,2023-10-24 15:37:23,46.250,39000,817,1803750.000,1104000.000
14,1,1698134282088,2023-10-24 15:58:02,46.250,96000,915,4440000.000,1104000.000
