序号,出现次数,时间戳,时间,价格,买卖方向,上笔价格,涨跌幅
1,1,1698111176519,2023-10-24 09:32:56,0.043,B,0.042,0.0238
2,1,1698111736983,2023-10-24 09:42:16,0.042,B,0.041,0.0244
3,1,1698111861735,2023-10-24 09:44:21,0.042,B,0.041,0.0244
4,1,1698112061949,2023-10-24 09:47:41,0.042,B,0.041,0.0244
5,1,1698112161728,2023-10-24 09:49:21,0.042,B,0.041,0.0244
6,1,1698112261720,2023-10-24 09:51:01,0.042,B,0.041,0.0244
